lower_step = preheat a large heavy skillet over medium heat for 3 minutes; METHOD is = preheat
lower_step = coat salmon with olive oil; METHOD is = coat
lower_step = place in skillet, and increase heat to high; METHOD is = place
lower_step = cook for 3 minutes; METHOD is = cook
lower_step = sprinkle with capers, and salt and pepper; METHOD is = sprinkle
lower_step = turn salmon over, and cook for 5 minutes, or until browned; METHOD is = turn
THERE IS NO METHOD IN lower_step = salmon is done when it flakes easily with a fork; first_token is = salmon
lower_step = transfer salmon to individual plates, and garnish with lemon slices; METHOD is = transfer
lower_step = preheat the oven to 375 degrees f (190 degrees c); METHOD is = preheat
lower_step = melt butter in a saucepan over medium heat; METHOD is = melt
lower_step = add garlic and onion; cook for a few minutes until fragrant, but not brown; METHOD is = add
lower_step = stir in spinach, and cook for about 5 more minutes; METHOD is = stir
lower_step = remove from the heat, and mix in ricotta cheese, sour cream, and 1 cup of monterey jack cheese; METHOD is = remove
THERE IS NO METHOD IN lower_step = in a skillet over medium heat, warm tortillas one at a time until flexible, about 15 seconds; first_token is = in
lower_step = spoon about 1/4 cup of the spinach mixture onto the center of each tortilla; METHOD is = spoon
lower_step = roll up, and place seam side down in a 9x13 inch baking dish; METHOD is = roll
lower_step = pour enchilada sauce over the top, and sprinkle with the remaining cup of monterey jack; METHOD is = pour
lower_step = bake for 15 to 20 minutes in the preheated oven, until sauce is bubbling and cheese is lightly browned at the edges; METHOD is = bake
lower_step = season pork with pepper and salt; METHOD is = season
lower_step = heat oil in large pot over high heat; METHOD is = heat
THERE IS NO METHOD IN lower_step = working in batches, cook pork in the hot oil until browned on all sides, about 5 minutes; first_token is = working
lower_step = return all cooked pork and accumulated juice to pot; METHOD is = return
lower_step = season pork with bay leaves, cumin, dried oregano, and cayenne pepper; METHOD is = season
lower_step = stir in fresh orange juice, orange zest, and milk; METHOD is = stir
lower_step = bring mixture to a boil over high heat; reduce heat to low; METHOD is = bring
lower_step = cover and simmer, stirring occasionally, until meat is fork tender but not falling apart, about 2 hours; METHOD is = cover
lower_step = preheat oven to 450 degrees f (230 degrees c); METHOD is = preheat
lower_step = remove pork from liquid; METHOD is = remove
lower_step = skim some fat from the pot to grease a baking dish; METHOD is = skim
lower_step = transfer the pieces of pork to the baking dish; METHOD is = transfer
lower_step = drizzle about 2 more tablespoons of the floating fat over the meat; METHOD is = drizzle
lower_step = season with more salt, if needed; METHOD is = season
lower_step = bake in preheated oven until pork is browned, about 15 minutes; METHOD is = bake
lower_step = stir pork; METHOD is = stir
lower_step = turn on oven's broiler; METHOD is = turn
lower_step = cook pork under broiler until crisp, 2 to 3 minutes; METHOD is = cook
lower_step = preheat oven to 375 degrees f (190 degrees c); METHOD is = preheat
lower_step = season chicken thighs all over with salt and black pepper; METHOD is = season
lower_step = place bacon in a large, oven-proof skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes; METHOD is = place
lower_step = transfer bacon with a slotted spoon to a paper-towel lined plate, leaving drippings in the skillet; METHOD is = transfer
lower_step = increase heat to high and place chicken, skin-side down, into skillet; METHOD is = increase
lower_step = cook in hot skillet until browned, 2 to 4 minutes per side; METHOD is = cook
lower_step = transfer chicken to a plate; drain and discard all but 1 tablespoon drippings from the skillet; METHOD is = transfer
lower_step = lower heat to medium-high; saute mushrooms, onion, and shallots with a pinch of salt in the hot skillet until golden and caramelized, 7 to 12 minutes; METHOD is = lower
lower_step = stir flour and butter into vegetable mixture until completely incorporated, about 1 minute; METHOD is = stir
lower_step = pour red wine into the skillet and bring to a boil while scraping browned bits of food off of the bottom of the pan with a wooden spoon; METHOD is = pour
lower_step = stir bacon and thyme into red wine mixture; simmer until wine is about 1/3 reduced, 3 to 5 minutes; METHOD is = stir
lower_step = pour chicken broth into wine mixture and set chicken thighs into skillet; bring wine and stock to a simmer; METHOD is = pour
lower_step = cook chicken in the preheated oven for 30 minutes; METHOD is = cook
lower_step = spoon pan juices over the chicken and continue cooking until no longer pink at the bone and the juices run clear, about 30 minutes more; METHOD is = spoon
THERE IS NO METHOD IN lower_step = an instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees f (74 degrees c); first_token is = an
lower_step = transfer chicken to a platter; METHOD is = transfer
lower_step = place skillet over high heat and reduce pan juices, skimming fat off the top as necessary, until sauce thickens slightly, about 5 minutes; METHOD is = place
lower_step = season with salt and pepper; remove and discard thyme; METHOD is = season
lower_step = pour sauce over chicken; METHOD is = pour
lower_step = preheat oven to 350 degrees f (175 degrees c); METHOD is = preheat
lower_step = season pork chops with salt, pepper, and italian seasoning; METHOD is = season
lower_step = heat butter and olive oil together in a skillet over medium-high heat until butter begins to foam; cook pork chops in the hot butter-oil mixture until golden brown, about 3 minutes per side; METHOD is = heat
lower_step = transfer pork chops to a baking dish, keeping the pan juices in skillet; METHOD is = transfer
lower_step = bake pork chops in the preheated oven until no longer pink in the center, 10 to 15 minutes; METHOD is = bake
THERE IS NO METHOD IN lower_step = an instant-read thermometer inserted into the center should read at least 145 degrees f (63 degrees c); first_token is = an
lower_step = cook and stir onion and shallots in the skillet with pan juices over medium heat until softened, 3 to 5 minutes; METHOD is = cook
lower_step = pour chicken stock and cooking wine into onion mixture, and bring to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon; METHOD is = pour
lower_step = whisk half-and-half, horseradish mustard, lemon juice, and thyme into onion mixture until mustard sauce is smooth and heated through, about 5 minutes; METHOD is = whisk
lower_step = serve pork chops drizzled with mustard sauce; METHOD is = serve
THERE IS NO METHOD IN lower_step = in medium bowl, blend reserved pineapple juice with cornstarch; stir in pineapple, chili sauce, raisins, sugar and cinnamon and set aside; first_token is = in
THERE IS NO METHOD IN lower_step = in large skillet lightly brown chops in oil and drain; first_token is = in
lower_step = pour pineapple mixture over chops; METHOD is = pour
lower_step = cover and simmer 15 minutes or until pork is cooked throughout; METHOD is = cover
THERE IS NO METHOD IN lower_step = in medium bowl, blend reserved pineapple juice with cornstarch; stir in pineapple, chili sauce, raisins, sugar and cinnamon and set aside; first_token is = in
THERE IS NO METHOD IN lower_step = in large skillet lightly brown chops in oil and drain; first_token is = in
lower_step = pour pineapple mixture over chops; METHOD is = pour
lower_step = cover and simmer 15 minutes or until pork is cooked throughout; METHOD is = cover
THERE IS NO METHOD IN lower_step = in a small saucepan over low heat, combine the cornstarch, cold water, sugar, soy sauce, vinegar, garlic, ginger and ground black pepper; first_token is = in
lower_step = let simmer, stirring frequently, until sauce thickens and bubbles; METHOD is = let
lower_step = preheat oven to 425 degrees f (220 degrees c); METHOD is = preheat
lower_step = place chicken pieces in a lightly greased 9x13 inch baking dish; METHOD is = place
lower_step = brush chicken with the sauce; METHOD is = brush
lower_step = turn pieces over, and brush again; METHOD is = turn
lower_step = bake in the preheated oven for 30 minutes; METHOD is = bake
lower_step = turn pieces over, and bake for another 30 minutes, until no longer pink and juices run clear; METHOD is = turn
lower_step = brush with sauce every 10 minutes during cooking; METHOD is = brush
THERE IS NO METHOD IN lower_step = in a small saucepan over low heat, combine the cornstarch, cold water, sugar, soy sauce, vinegar, garlic, ginger and ground black pepper; first_token is = in
lower_step = let simmer, stirring frequently, until sauce thickens and bubbles; METHOD is = let
lower_step = preheat oven to 425 degrees f (220 degrees c); METHOD is = preheat
lower_step = place chicken pieces in a lightly greased 9x13 inch baking dish; METHOD is = place
lower_step = brush chicken with the sauce; METHOD is = brush
lower_step = turn pieces over, and brush again; METHOD is = turn
lower_step = bake in the preheated oven for 30 minutes; METHOD is = bake
lower_step = turn pieces over, and bake for another 30 minutes, until no longer pink and juices run clear; METHOD is = turn
lower_step = brush with sauce every 10 minutes during cooking; METHOD is = brush
lower_step = preheat oven to 375 degrees f (190 degrees c); METHOD is = preheat
lower_step = heat olive oil in a large oven-safe frying pan over medium-high heat; METHOD is = heat
lower_step = sprinkle chops with salt, pepper, garlic powder, and poultry seasoning; METHOD is = sprinkle
lower_step = place in hot oil, and brown on both sides; METHOD is = place
lower_step = drizzle worcestershire sauce over chops, and pour in apple cider; METHOD is = drizzle
lower_step = bake in preheated oven for 25 minutes; METHOD is = bake
lower_step = remove chops to a plate, and return frying pan to stove over medium-high heat; METHOD is = remove
lower_step = stir sherry into pan, and boil until sauce thickens, stirring frequently; METHOD is = stir
lower_step = serve sauce over chops; METHOD is = serve
lower_step = preheat oven to 375 degrees f (190 degrees c); METHOD is = preheat
lower_step = heat olive oil in a large oven-safe frying pan over medium-high heat; METHOD is = heat
lower_step = sprinkle chops with salt, pepper, garlic powder, and poultry seasoning; METHOD is = sprinkle
lower_step = place in hot oil, and brown on both sides; METHOD is = place
lower_step = drizzle worcestershire sauce over chops, and pour in apple cider; METHOD is = drizzle
lower_step = bake in preheated oven for 25 minutes; METHOD is = bake
lower_step = remove chops to a plate, and return frying pan to stove over medium-high heat; METHOD is = remove
lower_step = stir sherry into pan, and boil until sauce thickens, stirring frequently; METHOD is = stir
lower_step = serve sauce over chops; METHOD is = serve
lower_step = preheat oven to 350 degrees f (175 degrees c); METHOD is = preheat
THERE IS NO METHOD IN lower_step = lightly grease a large baking dish; first_token is = lightly
THERE IS NO METHOD IN lower_step = in a medium saucepan over medium heat, melt the butter and saute the green onion until tender (about 3 to 4 minutes); first_token is = in
lower_step = add the garlic powder, then stir in the green chiles, cream of mushroom soup and sour cream; METHOD is = add
lower_step = mix well; METHOD is = mix
lower_step = reserve 3/4 of this sauce and set aside; METHOD is = reserve
THERE IS NO METHOD IN lower_step = to the remaining 1/4 of the sauce in the saucepan, add the chicken and 1/2 cup of shredded cheddar cheese; first_token is = to
lower_step = stir together; METHOD is = stir
lower_step = fill each flour tortilla with the chicken mixture and roll up; METHOD is = fill
lower_step = place seam side down in the prepared baking dish; METHOD is = place
THERE IS NO METHOD IN lower_step = in a small bowl combine the reserved 3/4 of the sauce with the milk; first_token is = in
lower_step = spoon this mixture over the rolled tortillas and top with the remaining 1/2 cup of shredded cheddar cheese; METHOD is = spoon
lower_step = bake in the preheated oven for 30 to 35 minutes, or until cheese is bubbly; METHOD is = bake
lower_step = preheat oven to 350 degrees f (175 degrees c); METHOD is = preheat
THERE IS NO METHOD IN lower_step = lightly grease a large baking dish; first_token is = lightly
THERE IS NO METHOD IN lower_step = in a medium saucepan over medium heat, melt the butter and saute the green onion until tender (about 3 to 4 minutes); first_token is = in
lower_step = add the garlic powder, then stir in the green chiles, cream of mushroom soup and sour cream; METHOD is = add
lower_step = mix well; METHOD is = mix
lower_step = reserve 3/4 of this sauce and set aside; METHOD is = reserve
THERE IS NO METHOD IN lower_step = to the remaining 1/4 of the sauce in the saucepan, add the chicken and 1/2 cup of shredded cheddar cheese; first_token is = to
lower_step = stir together; METHOD is = stir
lower_step = fill each flour tortilla with the chicken mixture and roll up; METHOD is = fill
lower_step = place seam side down in the prepared baking dish; METHOD is = place
THERE IS NO METHOD IN lower_step = in a small bowl combine the reserved 3/4 of the sauce with the milk; first_token is = in
lower_step = spoon this mixture over the rolled tortillas and top with the remaining 1/2 cup of shredded cheddar cheese; METHOD is = spoon
lower_step = bake in the preheated oven for 30 to 35 minutes, or until cheese is bubbly; METHOD is = bake
lower_step = preheat an oven to 400 degrees f (200 degrees c); METHOD is = preheat
lower_step = place the beef into a mixing bowl, and season with salt, onion, garlic salt, italian seasoning, oregano, red pepper flakes, hot pepper sauce, and worcestershire sauce; mix well; METHOD is = place
lower_step = add the milk, parmesan cheese, and bread crumbs; METHOD is = add
lower_step = mix until evenly blended, then form into 1 1/2-inch meatballs, and place onto a baking sheet; METHOD is = mix
lower_step = bake in the preheated oven until no longer pink in the center, 20 to 25 minutes; METHOD is = bake
lower_step = preheat an oven to 400 degrees f (200 degrees c); METHOD is = preheat
lower_step = place the beef into a mixing bowl, and season with salt, onion, garlic salt, italian seasoning, oregano, red pepper flakes, hot pepper sauce, and worcestershire sauce; mix well; METHOD is = place
lower_step = add the milk, parmesan cheese, and bread crumbs; METHOD is = add
lower_step = mix until evenly blended, then form into 1 1/2-inch meatballs, and place onto a baking sheet; METHOD is = mix
lower_step = bake in the preheated oven until no longer pink in the center, 20 to 25 minutes; METHOD is = bake
lower_step = season the chicken with salt and pepper; METHOD is = season
lower_step = rinse the mushrooms and pat dry; METHOD is = rinse
lower_step = season the flour with salt and pepper and dredge the chicken breasts in the flour mixture; METHOD is = season
lower_step = heat oil in a skillet over medium high heat and saute the chicken until it is nicely browned on one side (about 3 minutes); METHOD is = heat
lower_step = add the garlic; METHOD is = add
lower_step = turn the chicken breasts and scatter the mushrooms over them; METHOD is = turn
lower_step = continue frying, shaking the skillet and stirring the mushrooms; METHOD is = continue
lower_step = cook for about 3 minutes, then add the vinegar, broth, bay leaf and thyme; METHOD is = cook
lower_step = cover tightly and simmer over medium low heat for 10 minutes, turning occasionally; METHOD is = cover
lower_step = transfer the chicken to a warm serving platter and cover with foil; METHOD is = transfer
lower_step = set aside; METHOD is = set
lower_step = continue simmering the sauce, uncovered, over medium high heat for about 7 minutes; METHOD is = continue
lower_step = swirl in the butter or margarine and discard the bay leaf; METHOD is = swirl
lower_step = pour this mushroom sauce mixture over the chicken and serve; METHOD is = pour
lower_step = season the chicken with salt and pepper; METHOD is = season
lower_step = rinse the mushrooms and pat dry; METHOD is = rinse
lower_step = season the flour with salt and pepper and dredge the chicken breasts in the flour mixture; METHOD is = season
lower_step = heat oil in a skillet over medium high heat and saute the chicken until it is nicely browned on one side (about 3 minutes); METHOD is = heat
lower_step = add the garlic; METHOD is = add
lower_step = turn the chicken breasts and scatter the mushrooms over them; METHOD is = turn
lower_step = continue frying, shaking the skillet and stirring the mushrooms; METHOD is = continue
lower_step = cook for about 3 minutes, then add the vinegar, broth, bay leaf and thyme; METHOD is = cook
lower_step = cover tightly and simmer over medium low heat for 10 minutes, turning occasionally; METHOD is = cover
lower_step = transfer the chicken to a warm serving platter and cover with foil; METHOD is = transfer
lower_step = set aside; METHOD is = set
lower_step = continue simmering the sauce, uncovered, over medium high heat for about 7 minutes; METHOD is = continue
lower_step = swirl in the butter or margarine and discard the bay leaf; METHOD is = swirl
lower_step = pour this mushroom sauce mixture over the chicken and serve; METHOD is = pour
THERE IS NO METHOD IN lower_step = generously season both sides of roast with salt and pepper; first_token is = generously
lower_step = sprinkle flour over the top until well coated, and pat it into the meat; METHOD is = sprinkle
lower_step = shake off any excess; METHOD is = shake
lower_step = heat vegetable oil in a large skillet over medium-high heat until hot; METHOD is = heat
lower_step = sear the roast on both sides for 5-6 minutes each, until well browned; METHOD is = sear
lower_step = remove from the skillet and set aside; METHOD is = remove
lower_step = reduce the heat to medium and stir in mushrooms and butter; cook for 3-4 minutes; METHOD is = reduce
lower_step = stir in onion; cook for 5 minutes, until onions are translucent and begin to brown; METHOD is = stir
lower_step = add garlic, stir for about a minute; METHOD is = add
lower_step = stir in 1 1/2 tablespoons flour; cook and stir for about 1 minute; METHOD is = stir
lower_step = add tomato paste, and cook for another minute; METHOD is = add
THERE IS NO METHOD IN lower_step = slowly add chicken stock, stir to combine, and return to a simmer; first_token is = slowly
lower_step = remove skillet from the heat; METHOD is = remove
lower_step = place carrots and celery in the slow cooker; METHOD is = place
lower_step = place roast over the vegetables and pour in any accumulated juices; METHOD is = place
lower_step = add rosemary and thyme; METHOD is = add
